id,registration,first_seen,last_seen,times_seen,reason
2045,F-GSQO,2025-06-01 19:10,2025-06-01 19:10,1,
2046,HB-JBI,2025-06-01 19:08,2025-06-01 19:08,1,
2043,OO-SSJ,2025-06-01 17:45,2025-06-01 17:45,1,
2035,HA-LZI,2025-06-01 17:31,2025-06-01 17:31,1,
2042,OE-ICK,2025-06-01 17:30,2025-06-01 17:30,1,
2041,G-EUYH,2025-06-01 17:25,2025-06-01 17:25,1,
2039,TC-JNH,2025-06-01 16:57,2025-06-01 16:57,1,
2037,EI-IJA,2025-06-01 16:50,2025-06-01 16:50,1,
2038,F-HEPB,2025-06-01 16:48,2025-06-01 16:48,1,
2034,LV-GKP,2025-06-01 16:41,2025-06-01 16:41,1,
2036,OO-SSJ,2025-06-01 16:33,2025-06-01 16:33,1,
2040,A7-BFT,2025-06-01 16:05,2025-06-01 16:05,1,
2033,OE-ICK,2025-06-01 16:02,2025-06-01 16:02,1,
2030,TC-NCZ,2025-06-01 15:53,2025-06-01 15:53,1,
2029,EC-NAY,2025-06-01 15:07,2025-06-01 15:07,1,
2031,7T-VKL,2025-06-01 14:40,2025-06-01 14:40,1,
2032,VH-AMS,2025-06-01 14:10,2025-06-01 14:10,1,
2027,CC-BGU,2025-06-01 13:42,2025-06-01 13:42,1,
2025,EI-DCW,2025-06-01 13:26,2025-06-01 13:26,1,
2026,A6-EDU,2025-06-01 13:09,2025-06-01 13:09,1,
2028,G-EUPU,2025-06-01 13:00,2025-06-01 13:00,1,
2020,N964AM,2025-06-01 12:55,2025-06-01 12:55,1,
2024,HZ-AR23,2025-06-01 12:46,2025-06-01 12:46,1,
2022,CS-TXL,2025-06-01 12:44,2025-06-01 12:44,1,
2023,TC-JRZ,2025-06-01 12:42,2025-06-01 12:42,1,
2021,PH-BXK,2025-06-01 12:00,2025-06-01 12:00,1,
2019,N76054,2025-06-01 11:43,2025-06-01 11:43,1,
2010,OO-SSS,2025-06-01 11:41,2025-06-01 11:41,1,
2005,EI-DPI,2025-06-01 11:39,2025-06-01 11:39,1,
2002,EI-EVB,2025-06-01 11:36,2025-06-01 11:36,1,
2009,SE-RRB,2025-06-01 11:32,2025-06-01 11:32,1,
2003,SX-DVX,2025-06-01 11:20,2025-06-01 11:20,1,
2006,G-EZOK,2025-06-01 11:14,2025-06-01 11:14,1,
2004,F-GMZD,2025-06-01 11:13,2025-06-01 11:13,1,
2018,CC-BGA,2025-06-01 11:10,2025-06-01 11:10,1,
2001,N4062J,2025-06-01 11:06,2025-06-01 11:06,1,
2000,9H-QBW,2025-06-01 11:05,2025-06-01 11:05,1,
2017,A6-BLF,2025-06-01 10:50,2025-06-01 10:50,1,
2015,N730AN,2025-06-01 10:47,2025-06-01 10:47,1,
1999,EC-NPU,2025-06-01 10:44,2025-06-01 10:44,1,
2016,G-EUYN,2025-06-01 10:35,2025-06-01 10:35,1,
2008,9H-NFU,2025-06-01 10:30,2025-06-01 10:30,1,
1996,CS-TTS,2025-06-01 10:25,2025-06-01 10:25,1,
2014,G-EZOM,2025-06-01 10:25,2025-06-01 10:25,1,
1998,D-AISN,2025-06-01 10:24,2025-06-01 10:24,1,
1997,EI-IGW,2025-06-01 10:21,2025-06-01 10:21,1,
2013,9H-QCT,2025-06-01 10:20,2025-06-01 10:20,1,
2011,N805NW,2025-06-01 10:15,2025-06-01 10:15,1,
2012,HB-JCI,2025-06-01 10:15,2025-06-01 10:15,1,
2007,EI-EDS,2025-06-01 10:04,2025-06-01 10:04,1,
1995,A7-BFI,2025-06-01 09:55,2025-06-01 09:55,1,
1993,G-EUUO,2025-06-01 09:39,2025-06-01 09:39,1,
1994,G-EZOM,2025-06-01 09:18,2025-06-01 09:18,1,
1992,HB-JCI,2025-06-01 08:59,2025-06-01 08:59,1,
1990,N796AN,2025-06-01 08:44,2025-06-01 08:44,1,
1991,B-7839,2025-06-01 08:32,2025-06-01 08:32,1,
1989,N730AN,2025-06-01 08:01,2025-06-01 08:01,1,
1986,A6-BLF,2025-06-01 07:38,2025-06-01 07:38,1,
1988,B-329E,2025-06-01 07:35,2025-06-01 07:35,1,
1987,B-1591,2025-06-01 07:22,2025-06-01 07:22,1,
1985,A7-BHC,2025-06-01 06:49,2025-06-01 06:49,1,
1983,EI-DSW,2025-05-31 23:57,2025-05-31 23:57,1,
1984,SX-NEQ,2025-05-31 23:47,2025-05-31 23:47,1,
1982,F-HUYF,2025-05-31 23:15,2025-05-31 23:15,1,
1981,EI-EVX,2025-05-31 23:05,2025-05-31 23:05,1,
1980,9H-VUL,2025-05-31 22:19,2025-05-31 22:19,1,
1978,9H-VUG,2025-05-31 21:20,2025-05-31 21:20,1,
1979,G-EUYV,2025-05-31 21:05,2025-05-31 21:05,1,
1977,A7-BHF,2025-05-31 20:43,2025-05-31 20:43,1,
1975,G-TTNC,2025-05-31 20:23,2025-05-31 20:23,1,
1976,EI-DLI,2025-05-31 20:15,2025-05-31 20:15,1,
1974,EI-EVT,2025-05-31 19:39,2025-05-31 19:39,1,
1973,A6-EGZ,2025-05-31 19:38,2025-05-31 19:38,1,
